Provider,Server_Type,Region,OS_Type,Hour,Active_Users,Network_Packets_In,Disk_IO_Speed,Memory_Usage_Percent,CPU_Load
GCP,X-Large,EU-West,Linux,8,2518,35252,40.3,37.8,46.3
GCP,X-Large,EU-West,Windows,7,1085,10850,191.7,47.4,33.2
Azure,Micro,US-East,Ubuntu,11,184,1472,178.6,58.0,88.9
AWS,X-Large,US-East,Linux,1,4873,34111,132.2,64.4,75.2
GCP,X-Large,US-East,Linux,0,4264,25584,94.6,51.2,70.1
Azure,X-Large,EU-West,Linux,15,3358,16790,136.8,47.9,69.4
Azure,Micro,US-East,Ubuntu,22,128,1152,125.6,47.8,59.7
GCP,X-Large,AP-South,Windows,22,4289,25734,115.9,72.6,82.6
Azure,Micro,US-East,Windows,23,180,1080,16.5,80.8,85.0
AWS,Large,AP-South,Ubuntu,4,313,3443,128.4,32.3,22.7
Azure,Large,AP-South,Ubuntu,2,1368,16416,154.9,54.2,77.6
AWS,Micro,AP-South,Ubuntu,11,35,490,198.8,28.9,11.8
AWS,X-Large,AP-South,Ubuntu,7,4719,56628,7.2,55.1,89.0
GCP,Large,US-East,Ubuntu,21,502,4016,147.4,29.3,34.3
GCP,Micro,EU-West,Linux,2,122,610,116.5,45.2,51.0
GCP,X-Large,AP-South,Linux,0,1587,17457,89.6,32.6,21.8
Azure,Large,US-East,Windows,2,1186,5930,29.9,73.4,74.1
GCP,Micro,AP-South,Ubuntu,4,81,648,84.8,39.0,36.6
GCP,X-Large,US-East,Linux,14,1344,16128,74.1,26.7,25.1
Azure,X-Large,AP-South,Linux,13,1813,10878,64.1,28.8,26.6
GCP,Micro,EU-West,Linux,2,42,420,147.5,36.1,25.0
Azure,X-Large,AP-South,Windows,0,4072,40720,141.6,77.6,82.3
Azure,Large,EU-West,Ubuntu,4,1370,17810,119.9,55.0,83.7
AWS,Micro,EU-West,Windows,22,40,360,188.0,46.6,37.3
AWS,X-Large,US-East,Linux,13,2999,41986,73.2,43.4,50.7
GCP,X-Large,AP-South,Linux,6,2677,21416,52.5,43.4,47.0
Azure,X-Large,AP-South,Windows,8,4124,37116,132.9,75.7,77.6
AWS,X-Large,EU-West,Linux,14,2327,32578,43.8,39.6,46.6
AWS,X-Large,AP-South,Windows,14,2092,18828,66.4,60.6,58.2
AWS,Micro,US-East,Linux,9,114,1368,48.8,43.0,55.9
AWS,Large,EU-West,Ubuntu,12,1443,20202,18.5,60.1,83.7
GCP,Large,EU-West,Linux,18,1209,14508,166.4,51.1,69.5
AWS,Micro,US-East,Ubuntu,6,72,432,54.6,36.6,21.8
GCP,X-Large,US-East,Windows,16,2608,28688,97.2,57.4,61.9
Azure,Large,US-East,Windows,19,1384,16608,13.4,75.1,91.8
GCP,Large,AP-South,Ubuntu,3,1312,13120,141.4,58.9,73.1
AWS,Large,US-East,Ubuntu,4,887,7983,69.5,40.7,47.4
Azure,X-Large,US-East,Ubuntu,22,3828,49764,150.2,50.2,75.3
Azure,Micro,EU-West,Windows,6,82,574,85.4,51.6,54.0
GCP,Large,AP-South,Ubuntu,12,788,11032,43.2,38.3,39.4
Azure,Micro,EU-West,Ubuntu,14,168,1344,105.1,49.4,69.8
GCP,Large,EU-West,Linux,10,688,8944,30.4,39.7,43.5
Azure,Micro,US-East,Linux,3,77,770,90.9,32.9,31.3
GCP,X-Large,AP-South,Ubuntu,12,4681,56172,66.9,54.0,76.5
AWS,X-Large,US-East,Windows,6,4452,48972,182.8,75.4,71.8
GCP,X-Large,EU-West,Windows,18,4173,25038,16.9,72.4,79.6
GCP,Micro,AP-South,Linux,21,141,987,140.3,50.6,56.3
AWS,X-Large,EU-West,Linux,1,2637,13185,40.6,38.6,59.3
GCP,X-Large,EU-West,Ubuntu,9,1018,13234,67.2,29.2,28.3
GCP,Large,AP-South,Ubuntu,12,596,6556,86.0,34.9,37.0
Azure,Micro,US-East,Windows,20,32,160,182.1,49.8,27.4
GCP,Micro,US-East,Linux,5,92,644,52.3,37.6,36.1
Azure,Large,EU-West,Linux,11,1021,8168,22.8,50.2,65.7
AWS,X-Large,US-East,Ubuntu,11,1454,11632,67.1,31.1,22.7
Azure,Large,AP-South,Ubuntu,19,924,8316,25.4,46.6,57.9
Azure,X-Large,AP-South,Ubuntu,10,4726,33082,30.1,59.0,85.5
AWS,Micro,US-East,Ubuntu,22,74,518,116.9,35.8,37.4
Azure,X-Large,US-East,Linux,6,4147,20735,16.9,51.9,79.3
AWS,Large,EU-West,Ubuntu,0,910,10010,11.0,41.2,53.8
GCP,X-Large,AP-South,Linux,0,3190,44660,144.3,46.5,50.0
GCP,Large,US-East,Ubuntu,19,1116,5580,75.5,49.6,60.9
Azure,X-Large,US-East,Linux,12,4986,29916,29.4,64.6,92.9
GCP,Micro,US-East,Windows,8,69,552,54.5,58.7,53.7
AWS,Micro,EU-West,Linux,2,102,816,130.2,41.7,57.8
GCP,Micro,AP-South,Ubuntu,6,170,1530,58.7,51.0,68.5
AWS,X-Large,EU-West,Linux,5,1304,7824,101.4,30.6,32.8
GCP,Large,AP-South,Linux,7,935,7480,28.7,43.3,55.5
Azure,Micro,AP-South,Linux,8,44,220,119.7,30.0,20.5
GCP,Large,EU-West,Windows,4,301,1806,66.6,48.8,25.8
GCP,Micro,US-East,Windows,0,20,100,127.3,37.6,30.6
GCP,Micro,EU-West,Windows,18,108,1512,162.6,63.6,50.5
AWS,Micro,US-East,Ubuntu,9,119,1666,124.3,42.3,59.4
AWS,Micro,EU-West,Windows,11,83,664,62.7,60.9,38.2
Azure,Large,US-East,Windows,23,1161,9288,54.9,69.9,72.9
AWS,Large,EU-West,Ubuntu,14,1141,12551,68.8,48.4,67.4
GCP,X-Large,AP-South,Linux,21,4848,67872,37.1,56.2,78.2
GCP,Large,US-East,Ubuntu,23,1226,15938,40.3,56.2,79.7
AWS,X-Large,EU-West,Linux,8,3132,40716,159.2,38.5,58.0
GCP,Large,EU-West,Ubuntu,19,527,4743,80.0,35.6,36.0
Azure,Large,US-East,Ubuntu,16,1015,14210,90.0,47.8,52.7
Azure,Micro,AP-South,Linux,16,165,825,120.8,54.7,76.3
AWS,X-Large,EU-West,Linux,19,3676,18380,120.0,49.4,60.4
AWS,Micro,US-East,Ubuntu,11,163,1630,18.1,52.8,73.9
Azure,Large,US-East,Windows,6,864,5184,167.2,64.2,67.4
Azure,Large,AP-South,Ubuntu,1,211,2532,39.6,28.1,20.0
AWS,Micro,AP-South,Ubuntu,2,142,1846,146.0,48.5,56.5
AWS,X-Large,AP-South,Ubuntu,16,1303,10424,155.7,33.6,24.2
AWS,Large,AP-South,Windows,4,1174,10566,144.4,70.7,79.9
GCP,Large,EU-West,Windows,16,982,11784,117.9,61.4,61.0
AWS,Micro,EU-West,Windows,23,52,364,7.8,48.2,37.4
AWS,Large,AP-South,Linux,16,1143,10287,75.3,45.6,69.3
GCP,Large,AP-South,Ubuntu,16,542,3794,122.9,36.4,41.9
Azure,Large,AP-South,Linux,1,697,9758,80.6,43.6,42.7
AWS,X-Large,AP-South,Windows,1,3411,23877,173.4,65.9,74.3
GCP,Large,US-East,Windows,21,1090,7630,65.2,63.2,73.5
AWS,Large,US-East,Ubuntu,22,626,6886,62.2,35.8,43.7
AWS,Large,US-East,Linux,4,1204,13244,56.9,48.6,59.3
GCP,Micro,US-East,Windows,0,30,330,69.9,50.8,31.4
Azure,Large,EU-West,Linux,0,606,8484,113.7,33.2,37.4
GCP,X-Large,US-East,Windows,18,3666,43992,142.9,73.6,66.6
AWS,Large,US-East,Ubuntu,1,1214,10926,134.2,51.4,72.0
Azure,Large,US-East,Linux,20,535,4815,162.5,36.3,30.7
GCP,X-Large,US-East,Ubuntu,11,2838,22704,177.8,40.0,53.6
GCP,Large,AP-South,Linux,5,1340,14740,164.1,52.5,70.8
Azure,Micro,AP-South,Ubuntu,22,133,1862,8.7,44.5,55.9
AWS,X-Large,AP-South,Windows,3,3446,27568,148.5,66.1,78.2
GCP,Large,AP-South,Windows,22,992,5952,45.6,62.9,61.7
GCP,Micro,US-East,Linux,10,45,360,30.9,23.5,22.1
GCP,Large,EU-West,Ubuntu,23,914,10968,129.5,40.4,53.4
AWS,X-Large,AP-South,Windows,16,1050,13650,67.3,48.7,37.6
GCP,Micro,US-East,Ubuntu,5,24,168,16.1,24.1,25.2
Azure,X-Large,AP-South,Ubuntu,23,1323,14553,31.8,35.0,10.5
Azure,Large,AP-South,Windows,4,988,12844,5.2,68.3,70.2
GCP,Large,AP-South,Ubuntu,19,340,2720,181.1,28.9,18.1
GCP,Micro,AP-South,Windows,1,28,392,9.8,44.9,27.1
Azure,Micro,US-East,Windows,5,43,301,45.8,56.9,23.5
Azure,Large,US-East,Ubuntu,21,1163,10467,86.2,52.3,71.2
GCP,X-Large,US-East,Windows,10,4055,20275,74.5,74.4,86.4
Azure,Large,EU-West,Linux,15,572,4004,182.8,39.0,32.1
AWS,Large,AP-South,Windows,15,693,8316,12.9,56.6,56.2
AWS,Large,EU-West,Windows,0,950,11400,104.9,64.6,69.6
AWS,X-Large,EU-West,Ubuntu,8,2179,17432,137.7,39.2,40.9
AWS,X-Large,EU-West,Windows,5,3338,20028,186.7,64.8,75.3
Azure,Large,US-East,Ubuntu,15,1367,16404,126.0,62.5,79.7
AWS,Micro,US-East,Linux,2,115,1380,161.7,43.6,50.1
GCP,X-Large,AP-South,Windows,19,2443,34202,21.3,61.5,64.2
GCP,Large,US-East,Linux,3,869,6952,80.3,40.8,44.0
AWS,Large,US-East,Windows,18,201,1407,77.9,46.6,29.2
GCP,Large,EU-West,Linux,2,788,4728,177.8,47.5,47.8
AWS,Micro,US-East,Windows,18,141,1833,34.5,68.0,68.3
AWS,X-Large,AP-South,Ubuntu,19,3137,15685,34.6,48.6,45.4
AWS,Large,AP-South,Linux,6,549,6039,69.1,37.8,30.3
GCP,X-Large,EU-West,Ubuntu,19,4530,40770,15.6,63.3,82.2
GCP,Large,US-East,Ubuntu,8,1486,17832,40.6,58.6,87.5
AWS,Large,EU-West,Linux,0,1331,10648,193.2,53.2,78.3
AWS,X-Large,AP-South,Windows,7,4657,51227,88.5,76.7,91.1
AWS,Micro,AP-South,Windows,6,48,432,128.2,46.9,33.8
AWS,Micro,US-East,Windows,17,150,1350,146.6,72.5,76.5
Azure,X-Large,US-East,Ubuntu,7,3206,41678,76.6,43.6,48.0
AWS,X-Large,AP-South,Ubuntu,0,4654,60502,33.7,50.2,80.3
GCP,Large,AP-South,Linux,10,1158,15054,45.3,48.7,75.5
AWS,Large,EU-West,Ubuntu,17,511,5110,66.1,33.0,27.6
Azure,X-Large,EU-West,Windows,22,4312,43120,129.0,72.2,84.7
GCP,X-Large,EU-West,Linux,9,1444,12996,82.7,32.8,33.0
Azure,X-Large,US-East,Windows,2,3345,43485,6.3,65.2,64.3
AWS,Micro,US-East,Linux,6,193,2702,107.1,54.8,74.6
GCP,Micro,AP-South,Windows,15,45,540,184.7,46.5,34.9
AWS,Micro,US-East,Ubuntu,15,93,1023,163.4,38.8,51.2
GCP,X-Large,US-East,Ubuntu,19,2475,27225,165.9,36.4,37.8
GCP,X-Large,US-East,Windows,16,4957,49570,160.0,79.4,99.6
GCP,Large,US-East,Linux,1,1395,12555,68.1,56.1,84.4
Azure,Micro,US-East,Ubuntu,0,129,1032,154.2,49.2,53.8
AWS,Micro,US-East,Linux,15,182,1274,32.9,57.9,73.5
Azure,Micro,US-East,Windows,11,115,805,133.3,65.6,59.9
Azure,Micro,US-East,Windows,4,56,560,130.1,50.0,46.5
AWS,X-Large,AP-South,Windows,4,3938,31504,10.0,73.5,75.3
AWS,Large,AP-South,Linux,22,340,3400,158.7,33.9,17.7
AWS,Large,EU-West,Ubuntu,8,1086,7602,181.1,46.0,70.2
GCP,Large,EU-West,Windows,8,1341,10728,57.1,72.3,78.6
Azure,X-Large,EU-West,Linux,2,2300,29900,163.4,40.8,36.1
Azure,Micro,US-East,Ubuntu,18,146,1314,21.1,51.6,71.1
Azure,X-Large,EU-West,Ubuntu,15,4097,45067,122.0,53.8,69.4
Azure,Micro,EU-West,Linux,15,18,252,99.7,26.9,7.9
Azure,X-Large,AP-South,Windows,2,2806,16836,111.5,64.8,62.1
GCP,Large,US-East,Ubuntu,19,209,1881,185.6,25.1,12.5
AWS,Large,US-East,Linux,23,1183,15379,174.9,55.9,71.7
GCP,Large,US-East,Linux,21,577,4039,158.1,37.7,32.7
GCP,Large,US-East,Ubuntu,23,881,11453,58.4,49.8,48.4
GCP,Micro,EU-West,Linux,0,81,810,182.8,38.1,35.3
AWS,X-Large,AP-South,Windows,23,3199,25592,24.0,73.4,67.0
AWS,Micro,US-East,Linux,19,58,638,171.4,30.1,29.3
Azure,X-Large,US-East,Linux,10,4225,50700,69.0,55.7,75.8
GCP,Large,AP-South,Linux,16,1058,10580,15.5,44.9,60.6
Azure,Large,US-East,Linux,7,249,2241,135.5,29.3,15.6
AWS,Large,US-East,Ubuntu,3,863,8630,50.1,42.3,42.3
AWS,X-Large,AP-South,Windows,5,3578,32202,52.5,68.3,77.2
AWS,Large,US-East,Linux,7,1283,15396,64.7,49.0,84.3
AWS,Micro,US-East,Linux,19,176,880,17.4,48.3,70.6
GCP,Micro,EU-West,Linux,2,98,1078,39.5,36.8,54.2
Azure,Micro,AP-South,Linux,15,155,2170,6.0,49.2,57.1
AWS,X-Large,EU-West,Ubuntu,2,1914,26796,91.9,33.5,28.7
Azure,Micro,AP-South,Ubuntu,17,173,1038,21.4,57.0,74.4
AWS,Large,AP-South,Windows,13,1192,15496,138.1,71.9,77.7
Azure,X-Large,US-East,Ubuntu,17,2462,12310,50.9,35.2,41.5
Azure,Large,AP-South,Linux,1,441,6174,189.0,30.7,19.3
AWS,X-Large,EU-West,Ubuntu,21,1580,15800,174.9,31.3,30.7
AWS,Micro,AP-South,Linux,2,184,2392,61.4,57.4,69.6
Azure,Large,US-East,Windows,15,682,3410,157.7,57.8,59.5
GCP,Large,AP-South,Windows,8,1331,10648,161.6,75.3,83.1
AWS,X-Large,US-East,Ubuntu,3,2249,17992,197.4,34.5,35.5
AWS,Large,US-East,Windows,0,872,11336,121.6,66.2,63.8
GCP,Micro,AP-South,Windows,3,128,1152,21.0,59.7,65.5
GCP,X-Large,AP-South,Ubuntu,0,3708,33372,131.1,55.9,66.1
AWS,Large,AP-South,Windows,13,861,8610,126.9,62.4,59.7
AWS,X-Large,US-East,Windows,20,4503,22515,129.5,77.5,82.7
AWS,Large,US-East,Linux,15,1004,5020,64.9,49.8,55.2
AWS,Micro,EU-West,Ubuntu,19,152,1976,172.6,51.4,62.5
Azure,Micro,EU-West,Windows,23,172,1204,192.1,79.1,83.6
Azure,Micro,EU-West,Windows,7,169,1352,47.5,78.0,84.6
Azure,Micro,US-East,Linux,6,20,100,22.2,23.5,13.5
AWS,Large,EU-West,Ubuntu,2,849,11037,42.9,40.3,50.1
Azure,Micro,AP-South,Linux,16,87,1044,165.0,35.3,42.5
AWS,X-Large,AP-South,Linux,0,2100,12600,136.9,39.4,39.2
AWS,Large,AP-South,Ubuntu,15,708,8496,129.0,39.4,50.7
Azure,Micro,EU-West,Windows,11,194,2134,83.3,81.0,96.9
AWS,X-Large,AP-South,Windows,18,4325,43250,117.7,80.9,82.3
Azure,Large,US-East,Ubuntu,21,1120,5600,65.0,50.1,61.9
Azure,X-Large,US-East,Linux,22,1769,19459,98.1,38.4,40.6
Azure,Large,AP-South,Ubuntu,21,462,6468,159.6,35.3,29.7
Azure,X-Large,AP-South,Windows,13,4668,51348,196.3,75.9,88.6
Azure,Micro,US-East,Windows,5,155,2015,186.8,73.2,70.9
GCP,X-Large,AP-South,Ubuntu,5,4906,24530,187.1,57.5,87.6
GCP,X-Large,US-East,Linux,12,2577,15462,83.4,48.6,47.6
GCP,Large,EU-West,Windows,18,836,10868,96.4,59.6,65.3
GCP,Large,EU-West,Linux,21,1390,18070,142.6,54.4,84.1
GCP,Micro,US-East,Ubuntu,7,178,1780,184.8,55.5,61.7
Azure,X-Large,EU-West,Ubuntu,1,4824,48240,32.7,62.8,90.0
AWS,X-Large,EU-West,Windows,20,3506,28048,64.3,66.4,73.0
AWS,X-Large,US-East,Windows,0,1998,15984,32.2,55.2,49.4
Azure,X-Large,AP-South,Ubuntu,14,4351,39159,124.3,58.0,72.0
AWS,Micro,EU-West,Linux,0,197,1379,64.7,62.8,81.2
AWS,Large,AP-South,Linux,4,501,2505,68.6,39.5,28.8
GCP,X-Large,AP-South,Ubuntu,15,4602,23010,18.8,53.9,70.4
GCP,Micro,EU-West,Linux,18,77,847,73.2,29.4,35.0
GCP,Micro,AP-South,Windows,3,111,555,173.2,56.3,46.5
AWS,Micro,AP-South,Ubuntu,2,51,255,50.4,29.4,23.9
GCP,Micro,EU-West,Linux,16,41,287,140.6,27.6,23.1
Azure,Micro,EU-West,Windows,16,176,2464,127.8,73.8,86.9
AWS,Large,AP-South,Windows,11,820,6560,173.4,63.6,62.3
AWS,Micro,AP-South,Ubuntu,13,45,360,30.8,30.6,21.4
GCP,Large,AP-South,Windows,20,943,5658,195.6,60.6,64.3
Azure,X-Large,US-East,Linux,5,2764,13820,118.6,39.4,53.7
GCP,X-Large,US-East,Ubuntu,2,1352,9464,199.1,31.8,31.1
GCP,Large,AP-South,Windows,8,272,2176,182.7,41.6,29.1
AWS,Large,EU-West,Linux,4,847,5929,48.2,41.5,57.9
AWS,X-Large,US-East,Windows,23,2376,28512,16.0,58.7,56.2
GCP,Micro,US-East,Windows,16,132,1848,54.8,67.0,66.4
AWS,X-Large,AP-South,Ubuntu,13,2093,10465,107.9,35.9,38.6
AWS,Micro,US-East,Windows,20,178,1068,38.5,76.9,85.9
AWS,Micro,AP-South,Windows,2,22,242,37.7,44.5,26.3
GCP,Large,EU-West,Linux,0,760,6080,95.2,39.0,48.6
AWS,Large,AP-South,Windows,19,1027,12324,11.5,71.8,80.9
GCP,X-Large,EU-West,Windows,20,4713,32991,28.8,71.9,94.2
AWS,X-Large,US-East,Linux,22,1955,19550,86.1,34.6,39.3
Azure,Large,US-East,Windows,0,716,9308,17.3,58.0,48.3
AWS,X-Large,US-East,Ubuntu,2,3475,17375,82.4,49.3,56.3
GCP,Large,US-East,Windows,17,359,1795,97.4,52.1,42.2
AWS,Large,EU-West,Windows,9,348,4176,93.0,44.6,47.4
GCP,X-Large,US-East,Windows,21,3823,26761,174.5,67.8,73.6
GCP,Micro,AP-South,Windows,2,59,531,108.4,51.1,44.7
AWS,Micro,EU-West,Windows,7,76,380,96.3,57.1,46.3
GCP,Large,EU-West,Linux,13,1213,10917,85.1,50.5,62.4
AWS,X-Large,US-East,Ubuntu,23,4883,48830,164.4,57.4,88.1
Azure,Micro,US-East,Linux,17,134,1608,179.5,44.1,50.0
GCP,Large,EU-West,Ubuntu,14,257,1799,171.4,27.4,17.3
GCP,Large,AP-South,Ubuntu,21,1482,10374,136.3,57.7,83.7
GCP,X-Large,AP-South,Linux,22,1341,18774,31.8,30.3,31.2
GCP,X-Large,US-East,Linux,1,4909,63817,59.0,57.6,84.6
Azure,Large,US-East,Ubuntu,9,1353,10824,14.0,54.9,84.7
Azure,Micro,US-East,Windows,1,181,1448,186.5,79.3,87.8
AWS,X-Large,EU-West,Linux,16,3817,41987,133.9,51.3,67.5
